authorDisplayName,textDisplay,likeCount,publishedAt
@mazhararyan,Google pixel 9 pro XL please please please please please please please please please please please please,0,2026-07-17T15:00:52Z
@DTLABS-07,asus rog x real r1 i think can cook any vr headset please make a review oh those because price difference is huge,0,2026-07-14T20:33:37Z
@renegeerlings5445,"I have seen these ski glasses on a episode of Star Trek 
The Original Series 
Back in the Sixties",0,2026-07-12T13:48:53Z
@SVBlueFlyer,Not being able to use the YouTube Premium account/app - for when I'm flying - makes this a deal breaker. Shame,0,2026-07-12T09:24:09Z
@jasperknaeps2562,The pas trough is creepy at first i think 😂😅,0,2026-07-06T21:36:39Z
@Roblox_tales123,I can’t even share the pain knowing I can afford this but my parents will NEVER get me this…😭💔,0,2026-07-03T17:41:39Z
@yarmuhammadswati3565,Bada behtarin video aur bahut hi achcha bahut Hi pyara bahut hi jabardast video,0,2026-07-02T06:16:03Z
@Lordvernadian-q5n,I’m a believer. Develop it or else I will:,0,2026-07-01T16:08:43Z
@SBiswas-j3g6k,"Perhaps the most distinctive announcement is a new wheelchair control feature for Apple Vision Pro.For power wheelchair users who can not operate a standard joystick, the headset's precision eye tracking system can now be used to control compatible drive systems.
The feature launches with supporter for alternative drive systems ,Tolt and LUCI ,,in the US with both Bluetooth and wired connection options.
Eye tracking on Vision Pro does not require frequent recalibration and is designed to function across varying lighting conditions,, practical considerations that matter significantly for day to day use outside controlled environments...",0,2026-06-22T13:14:03Z
@Texg1rl_,"You have to ask yourself. Do I really need this?
Personally I wish they had come up with a way for the glasses to be tuned for you to see better.
Gamer fad and elite thing.",0,2026-06-17T17:31:41Z
@vrijay,Hindi 👍,0,2026-06-17T11:52:04Z
@isaacsvlogs,Could you send me a pair? Genuinely,0,2026-06-12T17:33:56Z
@Paniekzaaiertje,Kind of a gay product but let’s see if they will make it good in the future,0,2026-05-31T21:22:59Z
@KingNnabUkingNoble,"Great job, this video was very useful!",0,2026-05-19T11:13:18Z
@thetruth981,Seems overpriced and worthless. I can think of a lot of better things to spend 4K on.,0,2026-05-17T22:28:34Z
@YaroslavLihach-s5i,а под водой можно плавать в них?,0,2026-04-27T22:06:32Z
@joshs3916,🎉,0,2026-04-23T23:27:01Z
@henrykgames2296,Where is The portuguese,0,2026-04-23T20:05:50Z
@KidLucci22,Domain Expansion,0,2026-04-22T17:35:09Z
@SorinEnache-h9h,super technologyyyyyyyyyyyyy,0,2026-04-16T08:44:47Z
